Product,Q1 Revenue (EUR),Q2 Revenue (EUR),Q3 Revenue (EUR),Q4 Revenue (EUR),Total,Growth %
Enterprise Platform,45200,52800,61300,68900,228200,52.4
Integration Hub,12800,14500,16200,18100,61600,41.4
Custom Development,28400,31200,35800,32600,128000,14.8
Support Contracts,8600,8600,9200,9800,36200,14.0
Training Services,3200,4800,5600,6400,20000,100.0
Data Migration,15600,12400,9800,7200,45000,-53.8
Consulting,22000,24500,27800,31200,105500,41.8
API Access Fees,6800,8200,9600,11400,36000,67.6
White Label,0,0,4500,8200,12700,N/A
Total,142600,157000,179800,193800,673200,35.9
